Date,League,Team1,Team2,T1 Open,T1 DK,T2 Open,T2 DK
2025/05/09,mlb,Rangers,Tigers,+215,+240,-265,-298
2025/05/09,mlb,Cardinals,Nationals,-108,-112,-112,-108
2025/05/09,mlb,Brewers,Rays,-108,-118,-112,-102
2025/05/09,mlb,Cubs,Mets,+130,+124,-155,-148
2025/05/09,mlb,Phillies,Guardians,-125,-120,+105,+100
2025/05/09,mlb,Red Sox,Royals,-115,-110,-105,-110
2025/05/09,mlb,Marlins,White Sox,-135,-148,+114,+124
2025/05/09,mlb,Reds,Astros,+145,+154,-175,-185
2025/05/09,mlb,Giants,Twins,+100,-112,-120,-108
2025/05/09,mlb,Padres,Rockies,-166,-185,+140,+154
2025/05/09,mlb,Orioles,Angels,-148,-135,+124,+114
2025/05/09,mlb,Dodgers,Diamondbacks,-135,-105,+114,-115
2025/05/09,mlb,Blue Jays,Mariners,+120,+124,-142,-148
2025/05/09,mlb,Yankees,Athletics,-142,-162,+120,+136
2025/05/08,mlb,Orioles,Twins,+130,+140,-155,-166
2025/05/08,mlb,Rangers,Red Sox,+114,+130,-135,-155
2025/05/08,mlb,White Sox,Royals,+200,+205,-245,-250
2025/05/08,mlb,Tigers,Rockies,-180,-170,+150,+142
2025/05/08,mlb,Tigers,Rockies,-166,-205,+140,+170
2025/05/08,mlb,Phillies,Rays,-130,-162,+110,+136
2025/05/08,mlb,Reds,Braves,+136,+170,-162,-205
2025/05/08,mlb,Blue Jays,Angels,-122,-135,+102,+114
2025/05/08,mlb,Dodgers,Diamondbacks,-162,-162,+136,+136
2025/05/07,mlb,Guardians,Nationals,-135,-112,+114,-108
2025/05/07,mlb,Astros,Brewers,-142,-130,+120,+110
2025/05/07,mlb,Pirates,Cardinals,+140,+154,-166,-185
2025/05/07,mlb,Giants,Cubs,+102,+136,-122,-162
2025/05/07,mlb,Mariners,Athletics,-142,-142,+120,+120
2025/05/07,mlb,Mets,Diamondbacks,-130,-120,+110,+100
2025/05/07,mlb,Dodgers,Marlins,-230,-225,+190,+185
2025/05/07,mlb,Rangers,Red Sox,+102,+124,-122,-148
2025/05/07,mlb,Phillies,Rays,-130,-162,+110,+136
2025/05/07,mlb,Padres,Yankees,+150,+145,-180,-175
2025/05/07,mlb,Reds,Braves,-112,+102,-108,-122
2025/05/07,mlb,White Sox,Royals,+180,+180,-218,-218
2025/05/07,mlb,Orioles,Twins,+130,+120,-155,-142
2025/05/07,mlb,Tigers,Rockies,-185,-175,+154,+145
2025/05/07,mlb,Blue Jays,Angels,-120,-118,+100,-102
2025/05/06,mlb,Guardians,Nationals,-112,-120,-108,+100
2025/05/06,mlb,Dodgers,Marlins,-270,-238,+220,+195
2025/05/06,mlb,Rangers,Red Sox,-108,-115,-112,-105
2025/05/06,mlb,Padres,Yankees,-108,+110,-112,-130
2025/05/06,mlb,Phillies,Rays,-125,-130,+105,+110
2025/05/06,mlb,Guardians,Nationals,-118,-118,-102,-102
2025/05/06,mlb,Reds,Braves,+180,+185,-218,-225
2025/05/06,mlb,Orioles,Twins,+130,+142,-155,-170
2025/05/06,mlb,White Sox,Royals,+185,+210,-225,-258
2025/05/06,mlb,Astros,Brewers,-102,+105,-118,-125
2025/05/06,mlb,Giants,Cubs,+124,+124,-148,-148
2025/05/06,mlb,Pirates,Cardinals,-135,-118,+114,-102
2025/05/06,mlb,Blue Jays,Angels,-110,-118,-110,-102
2025/05/06,mlb,Mets,Diamondbacks,-108,-102,-112,-118
2025/05/06,mlb,Mariners,Athletics,-105,+105,-115,-125
2025/05/06,mlb,Tigers,Rockies,-170,-185,+142,+154
2025/05/05,mlb,Dodgers,Marlins,-185,-218,+154,+180
2025/05/05,mlb,Padres,Yankees,+124,+136,-148,-162
2025/05/05,mlb,Reds,Braves,+124,+114,-148,-135
2025/05/05,mlb,Giants,Cubs,+124,+150,-148,-180
2025/05/05,mlb,Astros,Brewers,-108,-108,-112,-112
2025/05/05,mlb,White Sox,Royals,+205,+190,-250,-230
2025/05/05,mlb,Pirates,Cardinals,+136,+114,-162,-135
2025/05/05,mlb,Mets,Diamondbacks,-115,+100,-105,-120
2025/05/05,mlb,Mariners,Athletics,-115,-122,-105,+102
2025/05/05,mlb,Guardians,Nationals,-118,-118,-102,-102
2025/05/04,mlb,Mets,Cardinals,-135,-122,+114,+102
2025/05/04,mlb,Twins,Red Sox,+185,+160,-225,-192
2025/05/04,mlb,Royals,Orioles,-102,+114,-118,-135
2025/05/04,mlb,Rays,Yankees,+154,+136,-185,-162
2025/05/04,mlb,Padres,Pirates,-110,-108,-110,-112
2025/05/04,mlb,Guardians,Blue Jays,-105,-120,-115,+100
2025/05/04,mlb,Athletics,Marlins,-130,-110,+110,-110
2025/05/04,mlb,Diamondbacks,Phillies,+110,+130,-130,-155
2025/05/04,mlb,Astros,White Sox,-218,-180,+180,+150
2025/05/04,mlb,Cubs,Brewers,-110,-115,-110,-105
2025/05/04,mlb,Mariners,Rangers,+150,+150,-180,-180
2025/05/04,mlb,Rockies,Giants,+260,+320,-325,-410
2025/05/04,mlb,Tigers,Angels,-170,-175,+142,+145
2025/05/04,mlb,Nationals,Reds,+105,-112,-125,-108
2025/05/04,mlb,Mets,Cardinals,-155,-162,+130,+136
2025/05/04,mlb,Dodgers,Braves,-142,-142,+120,+120
2025/05/03,mlb,Rays,Yankees,+150,+180,-180,-218
2025/05/03,mlb,Astros,White Sox,-245,-230,+200,+190
2025/05/03,mlb,Guardians,Blue Jays,+120,+136,-142,-162
2025/05/03,mlb,Rockies,Giants,+205,+245,-250,-305
2025/05/03,mlb,Padres,Pirates,-118,-105,-102,-115
2025/05/03,mlb,Athletics,Marlins,+105,+105,-125,-125
2025/05/03,mlb,Twins,Red Sox,-108,+105,-112,-125
2025/05/03,mlb,Diamondbacks,Phillies,+110,+105,-130,-125
2025/05/03,mlb,Nationals,Reds,+154,+154,-185,-185
2025/05/03,mlb,Mariners,Rangers,-135,-130,+114,+110
2025/05/03,mlb,Cubs,Brewers,-108,-118,-112,-102
2025/05/03,mlb,Dodgers,Braves,-115,+120,-105,-142
2025/05/03,mlb,Royals,Orioles,+100,-108,-120,-112
2025/05/03,mlb,Tigers,Angels,-180,-205,+150,+170
2025/05/03,mlb,Mets,Cardinals,-142,-155,+120,+130
2025/05/02,mlb,Nationals,Reds,+142,+170,-170,-205
2025/05/02,mlb,Padres,Pirates,-135,-135,+114,+114
2025/05/02,mlb,Diamondbacks,Phillies,+130,+136,-155,-162
2025/05/02,mlb,Royals,Orioles,+114,+120,-135,-142
2025/05/02,mlb,Rays,Yankees,+170,+195,-205,-238
2025/05/02,mlb,Guardians,Blue Jays,+114,+140,-135,-166
2025/05/02,mlb,Twins,Red Sox,-108,+100,-112,-120
2025/05/02,mlb,Athletics,Marlins,-142,-135,+120,+114
2025/05/02,mlb,Dodgers,Braves,-162,-185,+136,+154
2025/05/02,mlb,Astros,White Sox,-230,-225,+190,+185
2025/05/02,mlb,Mariners,Rangers,-118,-125,-102,+105
2025/05/02,mlb,Cubs,Brewers,-112,-125,-108,+105
2025/05/02,mlb,Mets,Cardinals,-118,-120,-102,+100
2025/05/02,mlb,Tigers,Angels,-166,-192,+140,+160
2025/05/02,mlb,Rockies,Giants,+205,+235,-250,-290
2025/05/01,mlb,Cubs,Pirates,+136,+105,-162,-125
2025/05/01,mlb,Cardinals,Reds,+105,-112,-125,-108
2025/05/01,mlb,Diamondbacks,Mets,+130,+140,-155,-166
2025/05/01,mlb,Twins,Guardians,-105,-130,-115,+110
2025/05/01,mlb,Royals,Rays,+124,+136,-148,-162
2025/05/01,mlb,Brewers,White Sox,-180,-162,+150,+136
2025/05/01,mlb,Athletics,Rangers,+136,+114,-162,-135
2025/05/01,mlb,Nationals,Phillies,+150,+150,-180,-180
2025/05/01,mlb,Red Sox,Blue Jays,-108,-115,-112,-105
2025/05/01,mlb,Tigers,Angels,-110,-148,-110,+124
2025/05/01,mlb,Rockies,Giants,+195,+230,-238,-285
2025/04/30,mlb,Cardinals,Reds,+124,+124,-148,-148
2025/04/30,mlb,Tigers,Astros,+100,+100,-120,-120
2025/04/30,mlb,Marlins,Dodgers,+235,+270,-290,-340
2025/04/30,mlb,Braves,Rockies,-245,-285,+200,+230
2025/04/30,mlb,Angels,Mariners,+124,+120,-148,-142
2025/04/30,mlb,Giants,Padres,+110,+120,-130,-142
2025/04/30,mlb,Twins,Guardians,-142,-110,+120,-110
2025/04/30,mlb,Yankees,Orioles,-120,+100,+100,-120
2025/04/30,mlb,Cubs,Pirates,-175,-170,+145,+142
2025/04/30,mlb,Cardinals,Reds,+110,-102,-130,-118
2025/04/30,mlb,Nationals,Phillies,+185,+205,-225,-250
2025/04/30,mlb,Royals,Rays,+154,+140,-185,-166
2025/04/30,mlb,Red Sox,Blue Jays,-120,-108,+100,-112
2025/04/30,mlb,Diamondbacks,Mets,-115,-112,-105,-108
2025/04/30,mlb,Brewers,White Sox,-175,-162,+145,+136
2025/04/30,mlb,Athletics,Rangers,+130,+130,-155,-155
2025/04/29,mlb,Twins,Guardians,+124,+114,-148,-135
2025/04/29,mlb,Yankees,Orioles,-148,-170,+124,+142
2025/04/29,mlb,Cubs,Pirates,-148,-155,+124,+130
2025/04/29,mlb,Nationals,Phillies,+160,+160,-192,-192
2025/04/29,mlb,Royals,Rays,+130,+136,-155,-162
2025/04/29,mlb,Red Sox,Blue Jays,-162,-135,+136,+114
2025/04/29,mlb,Diamondbacks,Mets,+120,+114,-142,-135
2025/04/29,mlb,Brewers,White Sox,-230,-265,+190,+215
2025/04/29,mlb,Athletics,Rangers,+170,+170,-205,-205
2025/04/29,mlb,Tigers,Astros,-112,-102,-108,-118
2025/04/29,mlb,Braves,Rockies,-198,-218,+164,+180
